2026-04-23 14:36:50 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:53 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:56 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:36:59 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:37:02 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.93
2026-04-23 14:37:04 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.93
2026-04-23 14:37:07 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:37:10 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.83
2026-04-23 14:37:13 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.86
2026-04-23 14:37:16 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.85
2026-04-23 14:37:19 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.88
2026-04-23 14:37:22 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.87
2026-04-23 14:37:25 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.87
2026-04-23 14:37:28 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.88
2026-04-23 14:37:31 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.83
2026-04-23 14:37:34 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.87
2026-04-23 14:37:36 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.87
